slug,outcome,analysis_outcome,label,category,category_label,family,data_frequency,panel_path,output_dir,figure_path,hybrid_excluded,cluster_var,reference_event_time,status,note,analysis_sample,n_panel_rows,n_observations,n_municipalities,n_municipalities_with_nonmissing_outcome,n_treated_municipalities,n_never_treated_municipalities,sample_year_min,sample_year_max,hybrid_municipalities_excluded,duplicate_unit_period_rows,event_time_step,analysis_period_note,event_time0_estimate,post_mean_event_1_8_ref0,post_abs_mean_event_1_8_ref0,n_pre_estimates,max_abs_pretrend_t,n_pre_p05,pretrend_label,n_post_estimates,pretrend_rank,post_abs_rank_value
child_spending_share,spending_child_share_education_pp,spending_child_share_education_pp,Child/basic share of education spending,adult_eja,Adult education / EJA outcomes,spending,annual,data/clean/downstream/bdd_adult_education_bvr_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/adult_eja/annual/spending/child_spending_share,resources/figures/downstream_bjs_ref0_nonhybrid/adult_eja/annual/child_spending_share_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/adult_eja/annual/child_spending_share.parquet,84777,65846,4037,4034,2790,1244,2004,2020,1534,0,1,,33.82004006756762,17.794050687608376,17.794050687608376,8,1.0280764375654992,0,pass,8,0,17.794050687608376
siconfi_education_pc_2008,siconfi_education_pc_2008,siconfi_education_pc_2008,Education Pc 2008,education,Education outcomes,spending,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/spending/siconfi_education_pc_2008,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/siconfi_education_pc_2008_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/siconfi_education_pc_2008.parquet,84777,81889,4037,4034,2790,1244,2000,2020,1534,0,1,,15.202213520236407,14.824019341613441,14.824019341613441,8,1.399798836517624,0,pass,8,0,14.824019341613441
inep_ind_municipal_dsu_em,inep_ind_municipal_dsu_em,inep_ind_municipal_dsu_em,Municipal Dsu Em,education,Education outcomes,teacher_profile,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_dsu_em,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_dsu_em_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_dsu_em.parquet,84777,938,4037,178,131,47,2011,2020,1534,0,1,,0.6211942757113907,11.853503638684678,11.853503638684678,6,1.778085142486525,0,pass,6,0,11.853503638684678
inep_ind_municipal_afd_em_grupo_5,inep_ind_municipal_afd_em_grupo_5,inep_ind_municipal_afd_em_grupo_5,Municipal Afd Em Grupo 5,education,Education outcomes,teacher_profile,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_afd_em_grupo_5,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_afd_em_grupo_5_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_afd_em_grupo_5.parquet,84777,648,4037,138,96,42,2013,2020,1534,0,1,,0.0475325281714836,-8.90255931130888,8.90255931130888,4,1.1379458942076743,0,pass,6,0,8.90255931130888
ideb_municipal_ef_final_taxa_aprovacao,ideb_municipal_ef_final_taxa_aprovacao,ideb_municipal_ef_final_taxa_aprovacao,Municipal Ef Final Taxa Aprovacao,education,Education outcomes,achievement,biennial,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/ideb_municipal_ef_final_taxa_aprovacao,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/ideb_municipal_ef_final_taxa_aprovacao_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/biennial/ideb_municipal_ef_final_taxa_aprovacao.parquet,80740,18817,4037,2802,2041,761,2004,2018,1534,0,2,"Biennial assessment years use analysis period = assessment year - 1, so the first post-BVR assessment is event time 0 and adjacent waves are two-year steps.",0.3595214036360893,4.002962952226035,4.002962952226035,4,1.9247950656095305,0,pass,4,0,4.002962952226035
inep_ind_municipal_ied_em_nivel_5,inep_ind_municipal_ied_em_nivel_5,inep_ind_municipal_ied_em_nivel_5,Municipal Ied Em Nivel 5,education,Education outcomes,teacher_profile,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_ied_em_nivel_5,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_ied_em_nivel_5_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_ied_em_nivel_5.parquet,84777,667,4037,143,97,46,2013,2020,1534,0,1,,1.107791137191989,3.0326728877426903,3.0326728877426903,4,1.232287681676188,0,pass,6,0,3.0326728877426903
ideb_publica_ef_final_taxa_aprovacao,ideb_publica_ef_final_taxa_aprovacao,ideb_publica_ef_final_taxa_aprovacao,Publica Ef Final Taxa Aprovacao,education,Education outcomes,achievement,biennial,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/ideb_publica_ef_final_taxa_aprovacao,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/ideb_publica_ef_final_taxa_aprovacao_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/biennial/ideb_publica_ef_final_taxa_aprovacao.parquet,80740,27681,4037,4034,2790,1244,2004,2018,1534,0,2,"Biennial assessment years use analysis period = assessment year - 1, so the first post-BVR assessment is event time 0 and adjacent waves are two-year steps.",0.7703048579674266,2.706349679830673,2.706349679830673,4,1.665870620070302,0,pass,4,0,2.706349679830673
inep_ind_municipal_tdi_em,inep_ind_municipal_tdi_em,inep_ind_municipal_tdi_em,Municipal Tdi Em,education,Education outcomes,dropout_flow,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_tdi_em,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_tdi_em_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_tdi_em.parquet,84777,2085,4037,420,321,99,2006,2020,1534,0,1,,-0.9032000418763304,-2.7063485615518887,2.7063485615518887,8,1.8301411884547,0,pass,8,0,2.7063485615518887
ieps_mortality_csap_per_100k,ieps_mortality_csap_per_100k,ieps_mortality_csap_per_100k,IEPS CSAP mortality,birth_health,Birth and health outcomes,ieps,annual,data/clean/downstream/bdd_health_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps/ieps_mortality_csap_per_100k,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_mortality_csap_per_100k_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_mortality_csap_per_100k.parquet,84777,44383,4037,4036,2792,1244,2010,2020,1534,0,1,,0.9255765179214476,-2.668773665547456,2.668773665547456,7,1.3323048417377872,0,pass,8,0,2.668773665547456
ieps_mortality_avoidable_per_100k,ieps_mortality_avoidable_per_100k,ieps_mortality_avoidable_per_100k,IEPS avoidable mortality,birth_health,Birth and health outcomes,ieps,annual,data/clean/downstream/bdd_health_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps/ieps_mortality_avoidable_per_100k,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_mortality_avoidable_per_100k_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_mortality_avoidable_per_100k.parquet,84777,44383,4037,4036,2792,1244,2010,2020,1534,0,1,,2.738707885104417,2.227695855161818,2.227695855161818,7,1.7857715264169454,0,pass,8,0,2.227695855161818
